title,first_week_audience,first_day_screen,drama,action,comedy,fantasy.SF,advanture,criminal.thrill,traditional,romance,animation,documentary,horror,family,war,etc,series,holiday,actors,director,distributor_value,aud_18,korea,usa,first_day_aud
잡아야산다,52964,417,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,19524
극장판도라에몽진구의우주영웅기~스페이스히어로즈~,53086,387,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,5900
파라노말액티비티더고스트디멘션,53343,656,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,21724
더테이블,53446,525,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,16769
극장판파워레인저트레인포스VS다이노포스THEMOVIE,53996,389,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6667
매직인더문라이트,54203,372,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,20814
짱구는못말려극장판정면승부!로봇아빠의역습,55435,436,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4801
스틸앨리스,55459,185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,13047
박스트롤,55794,358,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,4758
스티브잡스,56422,765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,18752
사일런스,56444,642,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,21977
오베라는남자,57216,457,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18046
어거스트가족의초상,57373,485,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,19650
로빈슨크루소,57413,325,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8744
두남자,57778,772,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,25553
페이스오브러브,57791,421,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,17448
문라이트,58014,343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18359
주온더파이널,58197,635,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,21224
쿰바반쪽무늬얼룩말의대모험,58230,217,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5259
세상에서고양이가사라진다면,58615,295,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15244
기생수파트2,58617,511,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,18578
번개맨,58891,697,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,12498
더퍼지거리의반란,59212,401,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,26148
파더앤도터,59495,703,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,27444
슈퍼미니,59716,375,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7703
선생님의일기,59791,291,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20390
심야식당,61182,337,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15789
극장판포켓몬스터AG-아름다운소원의별지라치,61917,237,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,14738
히트맨에이전트47,62041,532,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,18658
아이엠스타뮤직어워드,62506,678,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,1,23912
올레,62650,668,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,25680
다크플레이스,62800,510,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,18513
어카운턴트,62809,730,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,1,19907
감바의대모험,63236,461,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10539
더서클,63732,315,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,21343
더매직리틀톰과도둑공주,64645,266,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,6176
이퀄스,65549,703,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,23612
로스트인더스트,65999,691,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,20404
빅아이즈,67216,555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,18612
언더월드블러드워,67278,350,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,23662
엑스마키나,67459,401,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,17707
피터와드래곤,67674,273,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,4944
죽여주는여자,68004,630,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,20563
카페소사이어티,68506,392,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8,0,0,0,0,1,23155
피치퍼펙트언프리티걸즈,68542,569,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,23092
장난감이살아있다,68852,427,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9819
마이리틀자이언트,69344,242,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,13569
룸,69610,639,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,25972
패트리어트데이,69886,745,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,31538
오즈신기한마법가루,69888,487,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,14942
대니쉬걸,69899,434,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,16828
엽기적인그녀2,70129,766,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,6,0,0,0,0,1,32105
파워레인져스더비기닝,70357,876,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,23574
